size,run,insert,query
100000,1,0.8158122062683105,0.13325901031494142
100000,2,0.8364918231964111,0.13063201904296876
100000,3,0.8236969947814942,0.1452784538269043
100000,4,0.8647382736206055,0.15804309844970704
100000,5,1.063032341003418,0.20880255699157715
250000,1,2.1424320697784425,0.3093714714050293
250000,2,2.1033591270446776,0.3998744964599609
250000,3,2.1067617416381834,0.35286598205566405
250000,4,2.1332816600799562,0.32102103233337403
250000,5,2.099690628051758,0.3229218482971191
500000,1,4.308387231826782,0.6732407093048096
500000,2,4.239270877838135,0.802378511428833
500000,3,4.246127986907959,0.8308629035949707
500000,4,4.2535014152526855,0.6897344589233398
500000,5,4.268915510177612,0.8152842044830322
750000,1,6.32309741973877,0.9764914035797119
750000,2,6.409781217575073,1.1973251342773437
750000,3,6.474904489517212,1.1453206062316895
750000,4,6.232824373245239,0.994261360168457
750000,5,6.3827659606933596,1.1932600021362304
1000000,1,8.706754207611084,1.416321325302124
1000000,2,8.582568597793578,1.5632663726806642
1000000,3,8.617400884628296,1.5748433589935302
1000000,4,8.607150554656982,1.6004306316375732
1000000,5,8.69065065383911,1.5457724571228026
